wildcard;diameter;left_pair;right_pair
microsoft.adhybridhe*nts/read;2;microsoft/adhybridhealthservice/logs/contents/read;microsoft/adhybridhealthservice/reports/availabledeployments/read
microsoft.adhybridhealthserv*/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/configuration/read
microsoft.adhybridhealthservice/*;2;microsoft/adhybridhealthservice/addsservices/action;microsoft/adhybridhealthservice/configuration/action
microsoft.adhybridhea*/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/configuration/read
microsoft.adhybridhealth*/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/configuration/read
microsoft.adhybridhea*/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/configuration/read
microsoft.adhybridhealthservice*es/action;2;microsoft/adhybridhealthservice/addsservices/action;microsoft/adhybridhealthservice/services/action
microsoft.adhybridhealthservice/*ts/read;2;microsoft/adhybridhealthservice/addsservices/alerts/read;microsoft/adhybridhealthservice/logs/contents/read
microsoft.adhybridhealthservice*/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/configuration/read
microsoft.adhybridhealthservice/*;2;microsoft/adhybridhealthservice/addsservices/action;microsoft/adhybridhealthservice/configuration/action
microsoft.adhybridhealth*/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/configuration/read
microsoft.adhybridhealthservice*tus/read;2;microsoft/adhybridhealthservice/addsservices/replicationstatus/read;microsoft/adhybridhealthservice/services/exportstatus/read
microsoft.adhybridhealths*ck/read;2;microsoft/adhybridhealthservice/addsservices/premiumcheck/read;microsoft/adhybridhealthservice/services/feedbacktype/feedback/read
microsoft.adhybridhealthservice/*s/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/logs/contents/read
microsoft.adhybridhealthservice*s/write;2;microsoft/adhybridhealthservice/addsservices/write;microsoft/adhybridhealthservice/services/ipaddressaggregatesettings/write
microsoft.adhybridhealthserv*s/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/logs/contents/read
microsoft.adhybridhealthservice/*ervices/metricmetadata/read;2;microsoft/adhybridhealthservice/addsservices/metricmetadata/read;microsoft/adhybridhealthservice/services/metricmetadata/read
microsoft.adhybridhealthservi*e/read;2;microsoft/adhybridhealthservice/addsservices/features/userpreference/read;microsoft/adhybridhealthservice/services/metrics/groups/average/read
microsoft.adhybridhealthservice*ups/read;2;microsoft/adhybridhealthservice/addsservices/metrics/groups/read;microsoft/adhybridhealthservice/services/metrics/groups/read
microsoft.adhybridhealt*/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/configuration/read
microsoft.adhybridhealthservi*n/write;2;microsoft/adhybridhealthservice/configuration/write;microsoft/adhybridhealthservice/services/monitoringconfiguration/write
microsoft.adhybridhealthservice/*ns/read;2;microsoft/adhybridhealthservice/addsservices/dimensions/read;microsoft/adhybridhealthservice/operations/read
microsoft.adhybridhealthservice/*;2;microsoft/adhybridhealthservice/addsservices/action;microsoft/adhybridhealthservice/configuration/action
microsoft.adhybridhealthservice*services/premiumcheck/read;2;microsoft/adhybridhealthservice/addsservices/premiumcheck/read;microsoft/adhybridhealthservice/services/premiumcheck/read
microsoft.adhybridhealthservice/*ces/read;2;microsoft/adhybridhealthservice/addsservices/read;microsoft/adhybridhealthservice/services/read
microsoft.adhybridhealthserv*s/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/logs/contents/read
microsoft.adhybridhealthservice/*etails/read;2;microsoft/adhybridhealthservice/addsservices/replicationdetails/read;microsoft/adhybridhealthservice/services/reports/details/read
microsoft.adhybridhealthservice/services/reports/generatebloburi/action;;microsoft.adhybridhealthservice/services/reports/generatebloburi/action;microsoft.adhybridhealthservice/services/reports/generatebloburi/action
microsoft.adhybridhealthservic*s/servicemembers/action;2;microsoft/adhybridhealthservice/addsservices/servicemembers/action;microsoft/adhybridhealthservice/services/servicemembers/action
microsoft.adhybridhealthservic*s/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/logs/contents/read
microsoft.adhybridhealthservice*ervices/servicemembers/credentials/read;2;microsoft/adhybridhealthservice/addsservices/servicemembers/credentials/read;microsoft/adhybridhealthservice/services/servicemembers/credentials/read
microsoft.adhybridhealthservice/*;2;microsoft/adhybridhealthservice/addsservices/action;microsoft/adhybridhealthservice/configuration/action
microsoft.adhybridhealthservice/*cemembers/delete;2;microsoft/adhybridhealthservice/addsservices/servicemembers/delete;microsoft/adhybridhealthservice/services/servicemembers/delete
microsoft.adhybridhealthservice/*;2;microsoft/adhybridhealthservice/addsservices/action;microsoft/adhybridhealthservice/configuration/action
microsoft.adhybridhealthse*trics/groups/read;2;microsoft/adhybridhealthservice/addsservices/metrics/groups/read;microsoft/adhybridhealthservice/services/metrics/groups/read
microsoft.adhybridhealthser*/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/configuration/read
microsoft.adhybridhealthserv*ervicemembers/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/services/servicemembers/read
microsoft.adhybridhealthservice/*on/read;2;microsoft/adhybridhealthservice/addsservices/configuration/read;microsoft/adhybridhealthservice/configuration/read
microsoft.adhybridhealthservice/services/tenantwhitelisting/read;;microsoft.adhybridhealthservice/services/tenantwhitelisting/read;microsoft.adhybridhealthservice/services/tenantwhitelisting/read
microsoft.adhybridhealthservice*/write;2;microsoft/adhybridhealthservice/addsservices/write;microsoft/adhybridhealthservice/configuration/write
microsoft.adhybridhealthservice/*/action;2;microsoft/adhybridhealthservice/addsservices/action;microsoft/adhybridhealthservice/configuration/action
microsoft.avs*hecknameavailability/read;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*hecknameavailability/read;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*ability/read;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*s/read;2;microsoft/avs/operations/read;microsoft/avs/privateclouds/addons/operationstatuses/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*s/read;2;microsoft/avs/operations/read;microsoft/avs/privateclouds/addons/operationstatuses/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*s/read;2;microsoft/avs/operations/read;microsoft/avs/privateclouds/addons/operationstatuses/read
microsoft.avs/*/read;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/privateclo*es/write;3;microsoft/avs/privateclouds/clusters/datastores/write;microsoft/avs/privateclouds/hcxenterprisesites/write
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*/read;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs*s/read;2;microsoft/avs/operations/read;microsoft/avs/privateclouds/addons/operationstatuses/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/privateclouds*s/delete;3;microsoft/avs/privateclouds/addons/delete;microsoft/avs/privateclouds/authorizations/delete
microsoft.avs/*/read;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
