wildcard;diameter;left_pair;right_pair
microsoft.adhybridhealthservice/reports/badpassworduseridipfrequency/read;;microsoft.adhybridhealthservice/reports/badpassworduseridipfrequency/read;microsoft.adhybridhealthservice/reports/badpassworduseridipfrequency/read
microsoft.adhybridhealthservice*nts/read;2;microsoft/adhybridhealthservice/logs/contents/read;microsoft/adhybridhealthservice/reports/availabledeployments/read
microsoft.adhybridhealt*ps/read;2;microsoft/adhybridhealthservice/addsservices/metrics/groups/read;microsoft/adhybridhealthservice/reports/isdevops/read
microsoft.adhybridhealthservice/reports/selectdevopstenant/read;;microsoft.adhybridhealthservice/reports/selectdevopstenant/read;microsoft.adhybridhealthservice/reports/selectdevopstenant/read
microsoft.adh*/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/configuration/read
microsoft.adh*/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/configuration/read
microsoft.adhybridhealthservice/report*ddeployment/read;3;microsoft/adhybridhealthservice/reports/selecteddeployment/read;microsoft/adhybridhealthservice/reports/tenantassigneddeployment/read
microsoft.adhybridhealthservice*services/action;2;microsoft/adhybridhealthservice/addsservices/action;microsoft/adhybridhealthservice/services/action
microsoft.adhybridhealthservice*/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/configuration/read
microsoft.adhybridhealthservice/services/checkservicefeatureavailibility/read;;microsoft.adhybridhealthservice/services/checkservicefeatureavailibility/read;microsoft.adhybridhealthservice/services/checkservicefeatureavailibility/read
microsoft.adhybridhealthservice/*s/delete;2;microsoft/adhybridhealthservice/addsservices/delete;microsoft/adhybridhealthservice/services/delete
microsoft.adhybridhealthservice*s/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/logs/contents/read
microsoft.adhybridhealt*s/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/logs/contents/read
microsoft.adhybridhealth*/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/configuration/read
microsoft.adhybridhealthservic*gs/read;2;microsoft/adhybridhealthservice/logs/read;microsoft/adhybridhealthservice/services/ipaddressaggregatesettings/read
microsoft.adhybridhealthservice/services/ipaddressaggregatesettings/write;;microsoft.adhybridhealthservice/services/ipaddressaggregatesettings/write;microsoft.adhybridhealthservice/services/ipaddressaggregatesettings/write
microsoft.adhybridhealthser*es/read;2;microsoft/adhybridhealthservice/addsservices/read;microsoft/adhybridhealthservice/services/ipaddressaggregates/read
microsoft.adhybridhealthservice*ervices/metricmetadata/read;2;microsoft/adhybridhealthservice/addsservices/metricmetadata/read;microsoft/adhybridhealthservice/services/metricmetadata/read
microsoft.adhybridhealthservice/services/metrics/groups/average/read;;microsoft.adhybridhealthservice/services/metrics/groups/average/read;microsoft.adhybridhealthservice/services/metrics/groups/average/read
